2026-04-10 15:40:34,648 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=78.00A
2026-04-10 15:40:34,668 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=78.00A
2026-04-10 15:40:34,668 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=78.00A
2026-04-10 15:40:34,690 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=78.00A
2026-04-10 15:40:34,690 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=78.00A
2026-04-10 15:40:34,710 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=78.00A
2026-04-10 15:40:34,710 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=78.00A
2026-04-10 15:40:34,729 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=78.00A
2026-04-10 15:40:34,729 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=78.00A
2026-04-10 15:40:34,769 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=78.00A
2026-04-10 15:40:34,770 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=78.00A
2026-04-10 15:40:34,920 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=78.00A
2026-04-10 15:40:34,920 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=78.00A
2026-04-10 15:40:34,943 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=78.00A
2026-04-10 15:40:34,943 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=78.00A
2026-04-10 15:40:34,964 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=78.00A
2026-04-10 15:40:34,964 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=78.00A
2026-04-10 15:40:34,985 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=78.00A
2026-04-10 15:40:34,986 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=78.00A
2026-04-10 15:40:35,004 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=78.00A
